"Sample","Spore_rep","R","G","B","Y","PDI","Temp","Taxon"
"Lyco600",23,70,36,25,53.2230888847994,79.1282004373336,600,"Lycopodium"
"Lyco600",24,59,32,22,46.1045542878174,81.9197826322285,600,"Lycopodium"
"Lyco600",25,90,48,5,66.0042261685683,74.1159897378164,600,"Lycopodium"
"Lyco600",26,66,33,23,49.4676586308428,80.6009181839832,600,"Lycopodium"
"Lyco600",27,73,39,33,57.406528708134,77.4876358007318,600,"Lycopodium"
"Lyco600",28,52,32,37,45.5329394552816,82.1439453116543,600,"Lycopodium"
"Lyco600",29,75,32,26,52.470037541406,79.4235146896447,600,"Lycopodium"
"Lyco600",30,71,37,15,52.9438415531837,79.2377091948299,600,"Lycopodium"
"Lyco600",31,78,43,16,59.6934843577475,76.5907904479422,600,"Lycopodium"
"Lyco600",32,55,32,28,45.4381380198749,82.1811223451471,600,"Lycopodium"
"Lyco600",33,61,33,30,48.5685701140964,80.9535019160406,600,"Lycopodium"
"Lyco600",34,51,33,13,42.6741658078763,83.2650330165191,600,"Lycopodium"
"Lyco600",35,34,26,20,32.6562200956938,87.1936391781593,600,"Lycopodium"
"Lyco600",36,67,35,24,51.3192189915348,79.8748160817511,600,"Lycopodium"
"Lyco600",37,55,35,15,45.7522883695252,82.057926129598,600,"Lycopodium"
"Lyco600",38,46,35,33,44.847465403018,82.4127586654831,600,"Lycopodium"
"Lyco600",39,54,41,8,48.5263713654766,80.9700504449111,600,"Lycopodium"
"Lyco600",40,62,26,8,41.2852248803828,83.8097157331832,600,"Lycopodium"
"Lyco600",41,65,34,40,52.0264758925285,79.5974604343025,600,"Lycopodium"
"Lyco600",42,82,41,26,61.1194670592565,76.0315815453896,600,"Lycopodium"
"Lyco600",43,55,28,42,44.5788163415532,82.5181112386066,600,"Lycopodium"
"Lyco600",44,59,35,26,48.665022819286,80.9156773257702,600,"Lycopodium"
"Lyco600",45,85,43,35,64.7577355539198,74.6048095866981,600,"Lycopodium"
"Lyco800",1,36,39,27,42.3294309447062,83.4002231589388,800,"Lycopodium"
